State of the Academy 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1. What class are you in?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,2019,,2020,,2021,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,25.27%,116,27.02%,124,25.93%,119,21.79%,100,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",25.76%,51,31.82%,63,24.24%,48,18.18%,36,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",31.61%,122,25.39%,98,27.72%,107,15.28%,59,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,27.71%,289,27.33%,285,26.27%,274,18.70%,195,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q2. How long have you attended Andover? (e.g. if you are currently a two-year lower, answer "2 years")""2. How lo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5 years,,4 years,,3 years,,2 years,,1 year,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.22%,1,15.90%,73,24.84%,114,26.80%,123,32.24%,148,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.00%,0,20.71%,41,29.80%,59,24.75%,49,24.75%,49,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.26%,1,22.28%,86,23.32%,90,27.72%,107,26.42%,102,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.19%,2,19.18%,200,25.22%,263,26.75%,279,28.67%,299,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3. Are you a boarding or a day student?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boarding student,,Day student,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,64.71%,297,35.29%,162,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",79.80%,158,20.20%,40,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",80.83%,312,19.17%,74,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,73.54%,767,26.46%,276,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4. Where are you from?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States - Northeast,,United States - Midwest,,United States - West,,United States - Southwest,,United States - Southeast,,United States - Discontiguous,,Outside of the United States,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,67.32%,309,3.27%,15,5.23%,24,2.18%,10,5.66%,26,0.22%,1,16.12%,74,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",55.56%,110,3.54%,7,10.61%,21,3.54%,7,9.09%,18,0.51%,1,17.17%,34,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",58.55%,226,4.92%,19,8.81%,34,4.66%,18,7.51%,29,0.78%,3,14.77%,57,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,61.84%,645,3.93%,41,7.57%,79,3.36%,35,7.00%,73,0.48%,5,15.82%,165,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q5. For students from the United States, what is your immigration status?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I am the child of an immigrant,,I am a documented immigrant,,I am an undocumented immigrant,,Not applicable,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,33.55%,154,6.32%,29,0.22%,1,59.91%,275,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",41.41%,82,6.06%,12,0.00%,0,52.53%,104,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",29.53%,114,5.70%,22,0.78%,3,63.99%,247,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,33.56%,350,6.04%,63,0.38%,4,60.02%,626,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q6. If you attend college, will you be a first generation college student?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,No,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,5.66%,26,94.34%,433,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",8.08%,16,91.92%,182,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",8.81%,34,91.19%,352,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,7.29%,76,92.71%,967,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7. What is your sex?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,Female,,Intersex,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,39.22%,180,60.78%,279,0.00%,0,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",42.93%,85,56.57%,112,0.51%,1,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",56.99%,220,42.75%,165,0.26%,1,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,46.50%,485,53.31%,556,0.19%,2,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8. What are your preferred gender pronouns (PGPs)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,He/him/his,,She/her/hers,,They/them/their(s),,Ze/hir/hirs,,Other (please specify),,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,38.56%,177,60.57%,278,0.22%,1,0.00%,0,0.65%,3,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",39.90%,79,56.06%,111,0.51%,1,0.00%,0,3.54%,7,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",56.22%,217,42.49%,164,0.26%,1,0.52%,2,0.52%,2,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,45.35%,473,53.02%,553,0.29%,3,0.19%,2,1.15%,12,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9. What is your gender?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agender,,Genderfluid,,Genderqueer,,Man,,Woman,,Other (please specify),,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.87%,4,0.44%,2,0.44%,2,38.13%,175,59.48%,273,0.65%,3,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.51%,1,0.51%,1,0.51%,1,40.40%,80,55.56%,110,2.53%,5,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.00%,0,0.26%,1,0.52%,2,54.92%,212,42.49%,164,1.81%,7,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.48%,5,0.38%,4,0.48%,5,44.77%,467,52.44%,547,1.44%,15,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q10. What is your sexual orientation — "a person's sexual identity in relation to the gender to which they are attracted" (Oxford Dictionaries)?""10. What is your sexual orientation — "a person's sexual identity in relation to the gender to which the""0. What is your sexual orientation — "a person's sexual identity "". What is your sexual orien",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asexual — without sexual attraction,,Bisexual — sexually attracted to both men and women,,Demisexual — sexually attracted only after developing an emotional connection,,Heterosexual — sexually attracted to the opposite sex or gender,,Homosexual — sexually attracted to the same sex or gender,,"Pansexual — sexually attracted to others, regardless of sex or gender",,Other or Unsure,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,2.40%,11,9.80%,45,0.87%,4,79.08%,363,2.61%,12,1.09%,5,4.14%,19,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",1.01%,2,12.63%,25,2.02%,4,77.27%,153,1.01%,2,3.54%,7,2.53%,5,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.52%,2,10.36%,40,1.30%,5,80.57%,311,2.07%,8,2.33%,9,2.85%,11,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1.44%,15,10.55%,110,1.25%,13,79.29%,827,2.11%,22,2.01%,21,3.36%,35,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q11. What is your romantic orientation — "an individual's pattern of romantic attraction based on a person's gender" (AVENwiki)?""11. What is your romantic orientation — "an individual's pattern of romantic attractio""1. What is your romantic orientation — "an in"". Wha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aromantic — without romantic attraction,,Biromantic — romantically attracted to both men and women,,Demiromantic — romantically attracted only after developing an emotional connection,,Heteroromantic — romantically attracted to the opposite sex or gender,,Homoromantic — romantically attracted to the same sex or gender,,"Panromantic — romantically attracted to others, regardless of sex or gender",,Other or Unsure,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,0.87%,4,7.19%,33,2.18%,10,79.74%,366,3.27%,15,2.40%,11,4.36%,20,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",0.00%,0,7.07%,14,3.54%,7,81.31%,161,1.01%,2,4.55%,9,2.53%,5,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",0.52%,2,9.07%,35,1.55%,6,81.61%,315,2.59%,10,1.55%,6,3.11%,12,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.58%,6,7.86%,82,2.21%,23,80.73%,842,2.59%,27,2.49%,26,3.55%,37,100.00%,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Answered,1043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q12. What is your race? If applicable, select more than one.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asian,,Black,,Native Hawaiian or Pacific Islander,,Original Peoples of the Americas,,White,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q103: Yes,38.56%,177,9.15%,42,1.31%,6,3.92%,18,59.48%,273,44.01%,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be harsher",40.91%,81,11.62%,23,1.01%,2,3.54%,7,53.03%,105,18.98%,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q103: No, discipline should be more lenient",26.17%,101,11.92%,46,1.30%,5,4.15%,16,69.69%,269,37.01%,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
